OFFSET	TYPE	VALUE
0000000000000008	R_BPF_64_64	x
0000000000000020	R_BPF_64_64	y
0000000000000040	R_BPF_64_64	sum
0000000000000070	R_BPF_64_64	.rodata.str1.1
00000000000000a8	R_BPF_64_64	.rodata
00000000000000f0	R_BPF_64_64	.rodata
