VALUE	SIZE	TYPE	NAME
0000000000000000	0000000000000004	D	_license
0000000000000000	0000000000000008	D	p1
0000000000000000	0000000000000100	T	xdp_demo
0000000000000000	0000000000000012	r	xdp_demo.____fmt
