VALUE	SIZE	TYPE	NAME
0000000000000000	0000000000000004	D	_license
0000000000000000	000000000000000c	D	tab
0000000000000000	0000000000000088	T	xdp_demo
0000000000000000	0000000000000009	r	xdp_demo.____fmt
