VALUE	SIZE	TYPE	NAME
0000000000000000	000000000000000d	D	LICENSE
0000000000000000	0000000000000068	T	handle_tp
0000000000000000	000000000000001c	r	handle_tp.____fmt
0000000000000000	0000000000000004	B	my_pid
