VALUE	SIZE	NDX	NAME
0000000000000000	0	UND	
0000000000000000	0	ABS	map_in_map.c
0000000000000000	0	2	.text
0000000000000000	0	6	.debug_abbrev
0000000000000000	0	9	.debug_str_offsets
0000000000000000	0	11	.debug_str
0000000000000000	0	12	.debug_addr
0000000000000000	0	18	.debug_frame
0000000000000000	0	20	.debug_line
0000000000000000	0	22	.debug_line_str
0000000000000000	312	2	func
0000000000000020	32	4	array_of_maps
0000000000000000	32	4	inner_map
