VALUE	SIZE	TYPE	NAME
0000000000000000	0000000000000004	D	_license
0000000000000000	0000000000000068	t	my_abs
0000000000000068	0000000000000070	t	my_min
0000000000000000	00000000000000f8	T	xdp_demo
