ID	PARENT_ID	IDX	KIND	NAME	ATTRS
1	-1	-1	FUNC_PROTO	(anon)	ret_type_id=2 vlen=1
2	-1	-1	INT	int	size=4 bits_offset=0 nr_bits=32 encoding=SIGNED
3	-1	-1	PTR	(anon)	type_id=0
4	-1	-1	FUNC	xdp_demo	type_id=1 linkage=global
5	-1	-1	STRUCT	point	size=8 vlen=2
-1	5	0	MEMBER	x	type_id=2 bits_offset=0
-1	5	1	MEMBER	y	type_id=2 bits_offset=32
6	-1	-1	VAR	p1	type_id=5, linkage=global
7	-1	-1	CONST	(anon)	type_id=8
8	-1	-1	INT	char	size=1 bits_offset=0 nr_bits=8 encoding=SIGNED
9	-1	-1	ARRAY	(anon)	type_id=7 index_type_id=10 nr_elems=18
10	-1	-1	INT	__ARRAY_SIZE_TYPE__	size=4 bits_offset=0 nr_bits=32 encoding=(none)
11	-1	-1	VAR	xdp_demo.____fmt	type_id=9, linkage=static
12	-1	-1	ARRAY	(anon)	type_id=8 index_type_id=10 nr_elems=4
13	-1	-1	VAR	_license	type_id=12, linkage=global
14	-1	-1	DATASEC	.data	size=0 vlen=1
-1	14	0	DATASEC_ENTRY	p1	type_id=6 offset=0 size=8
15	-1	-1	DATASEC	.rodata	size=0 vlen=1
-1	15	0	DATASEC_ENTRY	xdp_demo.____fmt	type_id=11 offset=0 size=18
16	-1	-1	DATASEC	license	size=0 vlen=1
-1	16	0	DATASEC_ENTRY	_license	type_id=13 offset=0 size=4
