IDX	NAME	SIZE	VMA	TYPE
0	00000000	0000000000000000		
1	.strtab	0000013a	0000000000000000	
2	.text	00000000	0000000000000000	TEXT
3	tp/syscalls/sys_enter_write	00000068	0000000000000000	TEXT
4	.reltp/syscalls/sys_enter_write	00000020	0000000000000000	
5	license	0000000d	0000000000000000	DATA
6	.bss	00000004	0000000000000000	BSS
7	.rodata	0000001c	0000000000000000	DATA
8	.debug_loclists	00000016	0000000000000000	DEBUG
9	.debug_abbrev	000000ee	0000000000000000	DEBUG
10	.debug_info	000000f0	0000000000000000	DEBUG
11	.rel.debug_info	00000050	0000000000000000	
12	.debug_str_offsets	00000054	0000000000000000	DEBUG
13	.rel.debug_str_offsets	00000130	0000000000000000	
14	.debug_str	0000011c	0000000000000000	DEBUG
15	.debug_addr	00000028	0000000000000000	DEBUG
16	.rel.debug_addr	00000040	0000000000000000	
17	.BTF	0000024a	0000000000000000	
18	.rel.BTF	00000030	0000000000000000	
19	.BTF.ext	000000a0	0000000000000000	
20	.rel.BTF.ext	00000070	0000000000000000	
21	.debug_frame	00000028	0000000000000000	DEBUG
22	.rel.debug_frame	00000020	0000000000000000	
23	.debug_line	000000a0	0000000000000000	DEBUG
24	.rel.debug_line	00000070	0000000000000000	
25	.debug_line_str	000000a2	0000000000000000	DEBUG
26	.llvm_addrsig	00000003	0000000000000000	
27	.symtab	00000180	0000000000000000	
