VALUE	SIZE	TYPE	NAME
0000000000000000	0000000000000004	D	_license
0000000000000000	0000000000000088	T	xdp_demo
0000000000000000	0000000000000003	r	xdp_demo.____fmt
0000000000000003	0000000000000019	r	xdp_demo.____fmt.1
